name,tel,address,business_hour
阿里巴巴的廚房,02-2567-7163,台北市中山區南京東路2段56號2樓,"11:30-15:00,17:30-23:00"
Taj印度餐廳,02-8773-0175,台北市大安區市民大道四段48巷1號,"12:00-14:30,17:30-22:00"
泰鄉雲店,02-2577-9271,台北市松山區北寧路40號1樓(近台北小巨蛋),"11:30-14:30,17 :00-21:30"
清真泰富豪,02-2579-0528,台北市松山區北寧路36號（近台北小巨蛋）,10:30-21:30
安里家印度清真美食坊,02-2773-3227,台北市大安區延吉街70巷5弄6號1樓(近捷運忠孝敦化站),"11:30-14:30,17:30-21:30"
清真昆明園餐廳,02-2751-6776,台北市中山區復興北路81巷26號,"11:30-14:00,17:30-21:30"
塔吉摩洛哥料理,02-2732-7296,台北市大安區基隆路二段144巷3號1樓,"11:30-14:30,18:00-21:00,周一公休"
清真黃牛肉麵館,02-2331-8203,台北市中正區延平南路23號,"11:00-14:00,17:00-19:30,周日公休"
卡薩布蘭加餐飲店,0935-943-961,台北市大同區承德路三段212之1號,10:00-21:30
回館,02-2577-9851,台北市松山區八德路三段12巷51弄9號,"11:30-14:00,17:30-22:00,周一公休"
加祿堂附設餐飲店,02-2364-3765,台北市大安區辛亥路一段27號1樓,09:00-21:00
張家清真牛肉麵,02-2331-2791,台北市中正區延平南路21號,10:00-20:30
真的好海鮮餐廳,02-2771-3000,台北市大安區復興南路一段222號,"11:30-14:30,17:30-22:30"
頂鮮101美食美景餐廳,02-8101-8686,台北市信義區信義路五段7號86樓（台北101大樓）,11:30-22:00
冰館,02-8771-3263,台北市大安區忠孝東路四段297號,10:30-23:30
故宮晶華,02-2882-9393,台北市士林區至善路二段221號,11:00-21:30
頤宮中餐廳/雲軒西餐廳,02-2181-9999,台北市大同區承德路1段3號,
阿眉咖啡廳,02-2551-1111,台北市中山區中山北路2段63號,06:00-01:00
吃吧,02-2375-5111,台北市萬華區武昌街二段77號,06:30-22:00
中庭咖啡廳,02-2523-8000,台北市中山區中山北路2段39巷3號,"10:00-22:00,周五~六:10:00-23:30"
榮華廳,02-2891-5161,台北市北投區光明路258號B1-11樓,"07:00-10:00,12:0-14:00,17:30-20:30"
馬迪諾,02-2742-5798,台北市松山區南京東路五段411號,"12:00-14:00,18:00-21:00(需事先預約)"
沙龍廳,02-2597-1234,台北市中山區民權東路2段41號,"12:00-14:30,18:00-21:30(需達包廂費NT30,000)"
泰旺穆斯林泰式餐廳,02-2242-6188,新北市中和區南華路50號1樓,"11:30-14:00,17:00-21:00,周一公休,星期五中午公休"
璞石軒餐廳,02-2661-7772,新北市烏來區忠治里堰堤路61號,"12:00-13:30,18:00-21:00(需事先預約)"
附設餐廳,02-2497-5291,新北市瑞芳區輕便路43號,電話預約專線:0921-618-023
福園中餐廳 ,02-2662-0088#122,新北市深坑區北深路三段236號,"11:30-14:00,17:30-21:00"
不一樣小吃,03-436-9474,桃園市中壢區龍東路46號,"09:00-20:00,周三公休"
丹尼斯小廚,03-393-2968,桃園國際機場第二航廈3樓出境區C9,06:00-21:00
新東陽台北中東料理坊,03-383-3116,桃園國際機場第一航廈B1美食廣場,06:00-21:00
擎天輪餐廳,03-471-7211#358,桃園市龍潭區高原村橫岡下60之2號,11:00-15:00(電話預約專線:+886-3-471-7211#292)
D棟西餐廳,03-376-5077,桃園市桃園區桃鶯路398號,"06:00-10:00,12:00-14:00,18:00-21:00"
B1附設餐廳,03-385-3017,桃園市大園區中正東路442號B1餐廳,"11:00-14:00,17:00-21:00(電話預約,NT3,000一桌)"
阿拉丁餐廳,03-547-5665,新竹縣關西鎮仁安里拱子溝60號,"平日不營業,周六､日營業時間皆有變動(電話預約專線:+886-3-547-5665#292)"
八方燴西餐廳,03-515-1111,新竹市東區中華路二段188號,"06:30-10:00,11:30-14:00,14:30-17:00,17:30-21:00"
附設餐廳,037-879-198,苗栗縣三義鄉雙潭村崩山下1-9號,
香榭交誼廳,037-874-656,苗栗縣三義鄉西湖村西湖11號,"11:30-14:30,17:30-20:30(需事先預約)"
安拿朵利亞土耳其餐廳 ,04-2320-2186,台中市西區精誠路150號,11:00-22:00
小印度清真館 －博館總店－,04-2326-1425,台中市西區博館三街60號,11:00-22:00
小印度清真館 －育德館－,04-2206-6639,台中市北區育德路60號,11:00-22:00
小印度清真館 －精誠店－,04-2326-5411,台中市西區精誠路103號,11:00-22:00
小印度清真館 －健行店－,04-2326-7075,台中市西區健行路1017號,11:00-22:00
